WARNING 2024-03-04 15:09:32,221  160 Invalid field name(tt) pass.
INFO | 2024-03-04 16:10:44,520| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: post | line_no: 52 | Quiz Added Successfully.
INFO | 2024-03-08 12:14:18,082| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 174 | Record send Successfully.
INFO | 2024-03-11 15:55:09,232| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-11 17:20:28,313| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-11 17:29:19,819| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-11 17:30:22,136| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-11 17:30:55,232| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-11 17:31:14,157| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-11 17:47:36,522| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-11 17:49:21,335| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 179 | No Record Found
INFO | 2024-03-11 17:49:34,216| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 179 | No Record Found
INFO | 2024-03-11 17:49:41,655| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-11 17:51:45,584| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-11 17:58:30,327| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\enroll_and_result\views.py | func: post | line_no: 38 | User Enrolled Successfully in a Quiz.
INFO | 2024-03-11 17:58:55,412| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-11 18:00:27,860| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-11 18:02:16,227| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-11 18:02:32,818| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-12 10:54:45,427| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-12 10:55:03,826| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-12 10:55:13,987| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 179 | No Record Found
INFO | 2024-03-12 10:55:55,964| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-12 10:56:13,987| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-12 10:56:25,660| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 179 | No Record Found
INFO | 2024-03-12 11:00:50,787| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\enroll_and_result\views.py | func: post | line_no: 38 | User Enrolled Successfully in a Quiz.
INFO | 2024-03-12 11:01:36,289| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-12 11:01:47,370| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 179 | No Record Found
INFO | 2024-03-12 11:01:54,503| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-12 11:03:03,647| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\enroll_and_result\views.py | func: post | line_no: 38 | User Enrolled Successfully in a Quiz.
INFO | 2024-03-12 12:25:06,528| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-12 12:25:31,679| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-12 12:25:33,499| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-12 12:28:15,936| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-12 12:28:17,163| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-12 12:28:42,457| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-12 12:30:12,403| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-12 12:31:26,110| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-12 12:48:11,217| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-12 12:49:13,554| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-12 12:50:01,505| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-12 12:50:11,522| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-12 12:57:37,622| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-12 12:58:26,496| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-12 12:58:32,392| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 179 | No Record Found
INFO | 2024-03-12 12:58:40,297| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-12 14:05:09,752| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-12 14:05:20,059| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-12 14:28:32,170| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-13 11:10:24,254| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 109 | Return all questions with option Successfully.
INFO | 2024-03-13 11:13:18,898| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 109 | Return all questions with option Successfully.
INFO | 2024-03-13 11:14:15,513| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 109 | Return all questions with option Successfully.
INFO | 2024-03-13 11:14:38,843| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 109 | Return all questions with option Successfully.
INFO | 2024-03-13 14:53:12,789| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: post | line_no: 46 | Question and options are added successfully.
INFO | 2024-03-13 14:55:30,022| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: post | line_no: 46 | Question and options are added successfully.
INFO | 2024-03-13 15:10:14,463| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: post | line_no: 46 | Question and options are added successfully.
INFO | 2024-03-13 15:47:15,809| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-13 15:47:25,245| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-13 15:57:43,396| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 179 | No Record Found
INFO | 2024-03-19 13:57:20,811| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\enroll_and_result\views.py | func: post | line_no: 38 | User Enrolled Successfully in a Quiz.
INFO | 2024-03-19 13:58:57,632| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\enroll_and_result\views.py | func: post | line_no: 38 | User Enrolled Successfully in a Quiz.
INFO | 2024-03-19 14:19:34,674| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: post | line_no: 46 | Question and options are added successfully.
INFO | 2024-03-20 14:01:39,646| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz_play\views.py | func: post | line_no: 38 | User played quiz successfully.
INFO | 2024-03-20 17:08:25,515| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz_play\views.py | func: post | line_no: 38 | User played quiz successfully.
INFO | 2024-03-20 17:52:19,947| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz_play\views.py | func: post | line_no: 38 | User played quiz successfully.
INFO | 2024-03-20 17:54:54,564| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz_play\views.py | func: post | line_no: 38 | User played quiz successfully.
INFO | 2024-03-21 10:11:25,678| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz_play\views.py | func: post | line_no: 38 | User played quiz successfully.
INFO | 2024-03-21 10:16:11,912| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz_play\views.py | func: post | line_no: 38 | User played quiz successfully.
INFO | 2024-03-21 10:17:56,663| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz_play\views.py | func: post | line_no: 38 | User played quiz successfully.
INFO | 2024-03-21 10:25:54,720| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz_play\views.py | func: post | line_no: 38 | User played quiz successfully.
INFO | 2024-03-21 11:43:45,489| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz_play\views.py | func: post | line_no: 39 | User played quiz successfully.
INFO | 2024-03-21 14:18:10,586| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\enroll_and_result\views.py | func: get | line_no: 100 | Record send Successfully.
INFO | 2024-03-21 14:18:38,814| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\enroll_and_result\views.py | func: get | line_no: 100 | Record send Successfully.
INFO | 2024-03-21 14:18:53,071| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\enroll_and_result\views.py | func: get | line_no: 100 | Record send Successfully.
INFO | 2024-03-21 14:21:13,616| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\enroll_and_result\views.py | func: get | line_no: 100 | Record send Successfully.
INFO | 2024-03-21 14:22:29,562| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\enroll_and_result\views.py | func: get | line_no: 100 | Record send Successfully.
INFO | 2024-03-21 14:23:58,319| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\enroll_and_result\views.py | func: get | line_no: 100 | Record send Successfully.
INFO | 2024-03-21 14:27:03,696| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\enroll_and_result\views.py | func: get | line_no: 100 | Record send Successfully.
INFO | 2024-03-21 14:29:30,249| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\enroll_and_result\views.py | func: get | line_no: 100 | Record send Successfully.
INFO | 2024-03-21 14:30:12,269| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\enroll_and_result\views.py | func: get | line_no: 100 | Record send Successfully.
INFO | 2024-03-21 14:30:13,247| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\enroll_and_result\views.py | func: get | line_no: 100 | Record send Successfully.
INFO | 2024-03-21 14:30:28,950| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\enroll_and_result\views.py | func: get | line_no: 100 | Record send Successfully.
INFO | 2024-03-21 16:38:43,774| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\enroll_and_result\views.py | func: get | line_no: 100 | Record send Successfully.
INFO | 2024-03-21 16:39:25,659| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\enroll_and_result\views.py | func: get | line_no: 100 | Record send Successfully.
INFO | 2024-03-21 16:40:12,557| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\enroll_and_result\views.py | func: get | line_no: 100 | Record send Successfully.
INFO | 2024-03-21 16:45:17,449| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\enroll_and_result\views.py | func: get | line_no: 100 | Record send Successfully.
INFO | 2024-03-21 16:45:34,085| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\enroll_and_result\views.py | func: get | line_no: 100 | Record send Successfully.
INFO | 2024-03-21 16:52:31,219| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\enroll_and_result\views.py | func: get | line_no: 100 | Record send Successfully.
INFO | 2024-03-21 17:15:53,237| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz_play\views.py | func: post | line_no: 39 | User played quiz successfully.
INFO | 2024-03-21 17:18:33,802| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz_play\views.py | func: post | line_no: 39 | User played quiz successfully.
INFO | 2024-03-21 17:20:30,982| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz_play\views.py | func: post | line_no: 39 | User played quiz successfully.
INFO | 2024-03-22 10:18:44,705| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz_play\views.py | func: post | line_no: 39 | User played quiz successfully.
INFO | 2024-03-22 11:32:34,356| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz_play\views.py | func: post | line_no: 39 | User played quiz successfully.
INFO | 2024-03-22 12:05:15,963| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-22 12:05:40,339| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-22 12:06:09,174| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-22 12:07:07,177| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-22 12:07:15,292| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-22 13:07:56,297| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-22 13:09:50,781| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 175 | Record send Successfully.
INFO | 2024-03-22 13:11:26,683| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 109 | Return all questions with option Successfully.
INFO | 2024-03-22 13:11:41,479| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 109 | Return all questions with option Successfully.
